Wall time,Step,Value
1493414334.3297522,399,0.02628890424966812
1493414335.374812,400,0.026159344241023064
1493414336.4198718,401,0.026030801236629486
1493414337.4659317,402,0.025903264060616493
1493414338.5099914,403,0.02577672153711319
1493414339.5400503,404,0.02565116249024868
1493414340.58611,405,0.02552657760679722
1493414341.615169,406,0.025402957573533058
1493414342.6602287,407,0.025280293077230453
1493414343.7062886,408,0.02515857294201851
1493414344.7513485,409,0.025037789717316628
1493414345.795408,410,0.024917934089899063
1493414346.826467,411,0.02479899488389492
1493414347.8545258,412,0.024680962786078453
1493414348.9005857,413,0.024563828483223915
1493414349.9456453,414,0.02444758452475071
1493414350.9747043,415,0.02433222159743309
1493414352.018764,416,0.02421773038804531
1493414353.0508232,417,0.024104101583361626
1493414354.079882,418,0.023991325870156288
1493414355.1079407,419,0.02387939766049385
1493414356.1550007,420,0.023768305778503418
1493414357.1840594,421,0.023658042773604393
1493414358.2301192,422,0.02354860119521618
1493414359.257178,423,0.02343997359275818
1493414360.3042378,424,0.023332150653004646
1493414361.3492978,425,0.023225124925374985
1493414362.3793566,426,0.023118890821933746
1493414363.4234164,427,0.023013437166810036
1493414364.468476,428,0.022908760234713554
1493414365.499535,429,0.02280484512448311
1493414366.528594,430,0.022701691836118698
1493414367.5726538,431,0.022599291056394577
1493414368.6197135,432,0.022497633472085
1493414369.6637733,433,0.022396713495254517
1493414370.708833,434,0.022296525537967682
1493414371.753893,435,0.02219706028699875
1493414372.7839518,436,0.02209831215441227
1493414373.8290114,437,0.022000271826982498
1493414374.8740714,438,0.021902935579419136
1493414375.9041302,439,0.021806295961141586
1493414376.94919,440,0.0217103473842144
1493414377.9932497,441,0.021615080535411835
1493414379.0243087,442,0.021520491689443588
1493414380.0533676,443,0.021426571533083916
1493414381.1014276,444,0.02133331634104252
1493414382.1434872,445,0.0212407186627388
1493414383.190547,446,0.021148772910237312
1493414384.2336066,447,0.02105747163295746
1493414385.2636654,448,0.02096681110560894
1493414386.3087254,449,0.02087678387761116
1493414387.3557851,450,0.02078738436102867
1493414388.400845,451,0.020698606967926025
1493414389.4289038,452,0.020610444247722626
1493414390.4739635,453,0.020522894337773323
1493414391.5190234,454,0.02043594792485237
1493414392.5490823,455,0.020349599421024323
1493414393.5931418,456,0.020263846963644028
1493414394.6242008,457,0.02017868123948574
1493414395.6702607,458,0.020094100385904312
1493414396.7143204,459,0.020010095089673996
1493414397.7443793,460,0.019926663488149643
1493414398.7904391,461,0.019843798130750656
1493414399.834499,462,0.019761493429541588
1493414400.8645577,463,0.01967974752187729
1493414401.9096177,464,0.019598552957177162
1493414402.9556775,465,0.01951790601015091
1493414403.9837363,466,0.019437801092863083
1493414405.0147953,467,0.019358232617378235
1493414406.0588548,468,0.019279196858406067
1493414407.104915,469,0.01920069009065628
1493414408.1489744,470,0.01912270486354828
1493414409.1780334,471,0.019045237451791763
1493414410.2240932,472,0.018968284130096436
1493414411.269153,473,0.018891841173171997
1493414412.299212,474,0.01881590113043785
1493414413.3442717,475,0.0187404602766037
1493414414.3893313,476,0.01866551674902439
1493414415.433391,477,0.01859106495976448
1493414416.4644501,478,0.01851709932088852
1493414417.5085099,479,0.01844361610710621
1493414418.5545697,480,0.01837061159312725
1493414419.5996294,481,0.018298083916306496
1493414420.6296883,482,0.018226025626063347
1493414421.673748,483,0.018154432997107506
1493414422.7198079,484,0.018083302304148674
1493414423.7648678,485,0.018012629821896553
1493414424.8099275,486,0.017942411825060844
1493414425.8549871,487,0.0178726427257061
1493414426.885046,488,0.01780332252383232
1493414427.931106,489,0.01773444190621376
1493414428.9761658,490,0.017666000872850418
1493414430.0052247,491,0.017597995698451996
1493414431.0502844,492,0.017530422657728195
1493414432.095344,493,0.01746327616274357
1493414433.140404,494,0.017396552488207817
1493414434.1854637,495,0.017330249771475792
1493414435.2485244,496,0.017264364287257195
1493414436.2755833,497,0.017198892310261726
1493414437.322643,498,0.01713383197784424
1493414438.367703,499,0.017069177702069283
1493414439.4117627,500,0.01700492575764656
1493414440.4558222,501,0.016941072419285774
1493414441.5008821,502,0.016877615824341774
1493414442.5319412,503,0.01681455224752426
1493414443.5770009,504,0.016751879826188087
1493414444.6060598,505,0.016689592972397804
1493414445.6521194,506,0.016627687960863113
1493414446.6981795,507,0.016566164791584015
1493414447.7272382,508,0.01650501787662506
1493414448.771298,509,0.016444243490695953
1493414449.8173578,510,0.016383839771151543
1493414450.8624177,511,0.01632380299270153
1493414451.8924766,512,0.016264133155345917
1493414452.9385364,513,0.016204824671149254
1493414453.982596,514,0.016145873814821243
1493414455.0116549,515,0.016087278723716736
1493414456.0427139,516,0.016029037535190582
1493414457.0867736,517,0.015971146523952484
1493414458.1308334,518,0.015913601964712143
1493414459.176893,519,0.01585640013217926
1493414460.207952,520,0.015799541026353836
1493414461.2510118,521,0.01574302278459072
1493414462.2970717,522,0.015686841681599617
1493414463.3271306,523,0.015630990266799927
1493414464.3721902,524,0.015575471334159374
1493414465.402249,525,0.015520280227065086
1493414466.448309,526,0.01546541415154934
1493414467.4933689,527,0.01541087031364441
1493414468.5224278,528,0.015356647782027721
1493414469.5664873,529,0.015302742831408978
1493414470.6125472,530,0.015249151736497879
1493414471.656607,531,0.015195874497294426
1493414472.7026668,532,0.01514290738850832
1493414473.7317257,533,0.015090249478816986
1493414474.7787855,534,0.015037897042930126
1493414475.8228452,535,0.014985845424234867
1493414476.8519042,536,0.014934094622731209
1493414477.9119647,537,0.014882642775774002
1493414478.9420235,538,0.014831486158072948
1493414479.9720826,539,0.014780624769628048
1493414481.0181425,540,0.014730053022503853
1493414482.0472012,541,0.014679770916700363
1493414483.092261,542,0.014629775658249855
1493414484.12232,543,0.01458006538450718
1493414485.1513789,544,0.014530638232827187
1493414486.1804376,545,0.014481491409242153
1493414487.2114966,546,0.01443262118846178
1493414488.2405555,547,0.014384026639163494
1493414489.2866154,548,0.01433570683002472
1493414490.329675,549,0.014287658967077732
1493414491.3757348,550,0.01423987839370966
1493414492.4207945,551,0.014192366972565651
1493414493.4658544,552,0.014145120978355408
1493414494.526915,553,0.01409814041107893
1493414495.5709746,554,0.014051420614123344
1493414496.6180346,555,0.014004959724843502
1493414497.6630943,556,0.013958755880594254
1493414498.6921532,557,0.013912808150053024
1493414499.7222123,558,0.01386711373925209
1493414500.767272,559,0.013821671716868877
1493414501.8133318,560,0.013776479288935661
